401C9A | _start __libc_start_main main map_put | map_impl_put | lea r13, ptr [rax*4] |
401CA2 | _start __libc_start_main main map_put | map_impl_put | lea r14, ptr [rdi+r13*1] |
401CA6 | _start __libc_start_main main map_put | map_impl_put | cmp dword ptr [r14], 0x0 | r7FC83610A190
401CAA | _start __libc_start_main main map_put | map_impl_put | jnz 0x401cd4 |
401CAC | _start __libc_start_main main map_put | map_impl_put | jmp 0x401d10 |
401D10 | _start __libc_start_main main map_put | map_impl_put | shl rax, 0x3 |
401D14 | _start __libc_start_main main map_put | map_impl_put | jmp 0x401cf0 |
401CF0 | _start __libc_start_main main map_put | map_impl_put | mov dword ptr [r14], 0x1 | w7FC83610A190
401CF7 | _start __libc_start_main main map_put | map_impl_put | mov qword ptr [rsi+rax*1], r9 | w7FC836059310
401CFB | _start __libc_start_main main map_put | map_impl_put | mov eax, dword ptr [rsp+0x38] | r7FFC6012FD18
401CFF | _start __libc_start_main main map_put | map_impl_put | mov dword ptr [rdx+r13*1], ebp | w7FC8360C5190
401D03 | _start __libc_start_main main map_put | map_impl_put | pop rbx | r7FFC6012FCE0
401D04 | _start __libc_start_main main map_put | map_impl_put | pop rbp | r7FFC6012FCE8
401D05 | _start __libc_start_main main map_put | map_impl_put | mov dword ptr [r8+r13*1], eax | w7FC835DE3190
401D09 | _start __libc_start_main main map_put | map_impl_put | pop r12 | r7FFC6012FCF0
401D0B | _start __libc_start_main main map_put | map_impl_put | pop r13 | r7FFC6012FCF8
401D0D | _start __libc_start_main main map_put | map_impl_put | pop r14 | r7FFC6012FD00
401D0F | _start __libc_start_main main | map_impl_put | ret  | r7FFC6012FD08
401349 | _start __libc_start_main main | map_put | add rsp, 0x20 |
40134D | _start __libc_start_main main | map_put | add dword ptr [rbx+0x2c], 0x1 | r1AAF03C w1AAF03C
401351 | _start __libc_start_main main | map_put | pop rbx | r7FFC6012FD30
401352 | _start __libc_start_main main | map_put | pop rbp | r7FFC6012FD38
401353 | _start __libc_start_main main | map_put | pop r12 | r7FFC6012FD40
401355 | _start __libc_start_main | map_put | ret  | r7FFC6012FD48 
